tt,opt,tree,gap,verdict,t_sec
1771476585,4,4,0,gap0,1.21
2624339148,4,4,0,gap0,2.00
458763,4,4,0,gap0,2.20
969721395,4,4,0,gap0,2.11
1872754425,4,4,0,gap0,1.70
2183691735,4,4,0,gap0,1.91
3990806253,4,4,0,gap0,1.80
2523490710,4,4,0,gap0,1.51
2183669890,4,4,0,gap0,1.60
2147481599,4,4,0,gap0,2.00
249622815,4,4,0,gap0,2.39
3188998635,5,5,0,gap0,5.50
1002751035,4,4,0,gap0,1.89
2862262890,4,4,0,gap0,1.90
3078323127,4,4,0,gap0,1.69
1216610304,4,4,0,gap0,1.61
4292791518,5,5,0,gap0,7.68
2520541635,4,4,0,gap0,1.31
4082521686,5,5,0,gap0,8.62
2269858695,4,4,0,gap0,2.19
2281701920,5,5,0,gap0,5.80
1432790422,4,4,0,gap0,1.60
1504093785,4,4,0,gap0,1.29
258998175,4,4,0,gap0,2.30
1765601445,5,5,0,gap0,4.69
959891145,4,4,0,gap0,1.80
962999961,5,5,0,gap0,6.58
131070,4,4,0,gap0,1.90
1771453635,4,4,0,gap0,1.71
1119912195,5,5,0,gap0,4.92
1945108479,5,5,0,gap0,6.51
713037120,4,4,0,gap0,1.71
2701138432,5,5,0,gap0,6.00
4160257935,4,4,0,gap0,1.89
1721317065,4,4,0,gap0,1.68
3971206715,4,4,0,gap0,1.90
855646482,4,4,0,gap0,1.71
263516235,4,4,0,gap0,1.80
2339653560,5,5,0,gap0,4.50
5932050,5,5,0,gap0,7.01
4143380079,4,4,0,gap0,1.80
2773837209,5,5,0,gap0,5.49
2775145110,4,4,0,gap0,1.80
1821610860,4,4,0,gap0,1.70
3018607635,4,4,0,gap0,1.90
562351935,5,5,0,gap0,10.59
909756870,4,4,0,gap0,1.98
1704630885,4,4,0,gap0,1.20
2415458447,4,4,0,gap0,1.80
101253120,4,4,0,gap0,1.90
1789302105,4,4,0,gap0,1.78
4243805785,4,4,0,gap0,1.70
869049180,5,5,0,gap0,5.92
2776933812,5,6,1,gap1,20.41
3211314,4,4,0,gap0,2.20
3078304563,4,4,0,gap0,2.39
1498830425,4,4,0,gap0,2.31
1448711785,5,5,0,gap0,7.10
2272800210,4,4,0,gap0,2.07
1623232560,4,4,0,gap0,1.90
4143577590,4,4,0,gap0,1.70
2673871350,6,6,0,gap0,21.69
2473356435,4,4,0,gap0,1.30
2790873510,4,4,0,gap0,1.71
3992977389,4,4,0,gap0,1.70
4033474725,4,4,0,gap0,2.22
2855202932,6,,-1,inconclusive,52.08
765822885,4,4,0,gap0,1.72
1774425660,4,4,0,gap0,1.80
170434690,4,4,0,gap0,2.79
1433053845,4,4,0,gap0,2.11
261492585,4,4,0,gap0,2.08
4460363,4,4,0,gap0,1.62
253562670,5,5,0,gap0,11.21
3328994502,4,4,0,gap0,2.19
2623759260,4,4,0,gap0,1.78
4152328183,4,4,0,gap0,1.72
1771476630,4,4,0,gap0,1.71
2533359510,4,4,0,gap0,1.98
16755540,4,4,0,gap0,2.40
4110372863,4,4,0,gap0,1.71
2472986163,5,5,0,gap0,6.18
1960628595,5,6,1,gap1,31.60
1824940021,4,4,0,gap0,1.89
1824966252,4,4,0,gap0,1.71
1768554240,5,5,0,gap0,7.40
111146607,5,5,0,gap0,8.91
768771960,4,4,0,gap0,1.79
5397000,5,5,0,gap0,16.19
2594810266,4,4,0,gap0,1.90
1019424135,4,4,0,gap0,2.01
14549229,4,4,0,gap0,2.41
1396024122,5,5,0,gap0,7.71
27030,4,4,0,gap0,1.80
865284963,4,4,0,gap0,1.92
1574262645,4,4,0,gap0,1.90
1599867450,6,6,0,gap0,36.00
756011760,4,4,0,gap0,1.60
3776882010,4,4,0,gap0,2.10
2526451305,4,4,0,gap0,1.41
4293787575,4,4,0,gap0,2.19
3284350620,5,5,0,gap0,7.22
956352000,4,4,0,gap0,1.90
4177921785,4,4,0,gap0,1.71
3047651931,5,5,0,gap0,6.39
867827583,6,,-1,inconclusive,47.89
3539992575,4,4,0,gap0,1.90
3019929600,4,4,0,gap0,1.70
4022337275,4,4,0,gap0,1.90
267417735,4,4,0,gap0,1.51
1600123376,5,5,0,gap0,10.98
2026080195,5,5,0,gap0,9.21
3334915641,4,4,0,gap0,2.31
4007771060,4,4,0,gap0,2.05
339804160,4,4,0,gap0,2.04
2527422810,4,4,0,gap0,2.11
2775148965,4,4,0,gap0,2.29
4152359871,4,4,0,gap0,2.00
202146888,4,4,0,gap0,2.33
1721341545,4,4,0,gap0,1.98
518119710,4,4,0,gap0,1.50
2105705085,4,4,0,gap0,2.11
1009527868,5,5,0,gap0,6.42
3532108830,6,6,0,gap0,34.90
1771480410,4,4,0,gap0,1.70
1448454554,6,6,0,gap0,37.70
536903840,4,4,0,gap0,2.09
2573625705,5,5,0,gap0,5.50
4032480090,5,5,0,gap0,5.80
2859051619,5,5,0,gap0,14.91
4134498294,4,4,0,gap0,2.20
252679785,4,4,0,gap0,2.09
1771490508,4,4,0,gap0,2.03
1671205740,4,4,0,gap0,1.89
3689414655,5,5,0,gap0,11.81
966000639,4,4,0,gap0,2.49
2111297405,4,4,0,gap0,2.01
1103031060,5,5,0,gap0,4.89
1516873110,4,4,0,gap0,1.28
1771465050,5,5,0,gap0,5.12
2523486885,4,4,0,gap0,1.69
1574285034,4,4,0,gap0,1.80
4291624398,4,4,0,gap0,2.38
1621033215,4,4,0,gap0,1.92
1718288383,4,4,0,gap0,1.99
1917750705,6,6,0,gap0,29.78
1432769958,4,4,0,gap0,2.50
4040298285,4,4,0,gap0,1.81
3149153355,4,4,0,gap0,1.79
4126799350,4,4,0,gap0,1.70
356864340,4,4,0,gap0,2.09
3275541815,5,6,1,gap1,38.51
2522507685,4,4,0,gap0,1.40
3027771090,5,5,0,gap0,9.50
2185308180,4,4,0,gap0,2.00
8463360,6,6,0,gap0,35.29
1219986564,5,5,0,gap0,8.01
1216644168,4,4,0,gap0,1.70
2509920681,5,5,0,gap0,5.91
842255820,4,4,0,gap0,1.98
161023590,4,4,0,gap0,2.09
2128537527,6,6,0,gap0,26.12
4294770696,5,5,0,gap0,6.59
4291231738,5,5,0,gap0,13.79
2532337935,4,4,0,gap0,2.30
3074967735,4,4,0,gap0,1.91
1950843976,5,5,0,gap0,7.00
1073741824,4,4,0,gap0,2.10
2017228595,4,4,0,gap0,2.29
1775015475,4,4,0,gap0,2.09
2796136870,4,4,0,gap0,2.31
755961645,4,4,0,gap0,1.99
2771606220,5,5,0,gap0,5.90
352316160,4,4,0,gap0,2.00
2402250960,4,4,0,gap0,2.10
4033220505,5,5,0,gap0,6.12
2573625750,4,4,0,gap0,1.91
3231039594,4,4,0,gap0,2.20
2576968089,4,4,0,gap0,1.88
284098815,4,4,0,gap0,2.02
3740134878,4,4,0,gap0,1.99
4123458249,4,4,0,gap0,1.99
128975664,5,5,0,gap0,9.00
919193910,4,4,0,gap0,1.29
4288675695,4,4,0,gap0,1.99
255597884,5,5,0,gap0,20.92
4278057975,4,4,0,gap0,2.19
2517604608,4,4,0,gap0,1.70
2506778010,4,4,0,gap0,1.80
2573821590,4,4,0,gap0,1.78
2189573160,5,5,0,gap0,8.49
2505665190,4,4,0,gap0,2.09
252055305,4,4,0,gap0,2.50
4260360189,5,5,0,gap0,10.00
2772176670,6,6,0,gap0,34.82
2422210560,4,4,0,gap0,1.99
1664717622,5,5,0,gap0,8.31
2685026580,5,5,0,gap0,7.09
3024833460,4,4,0,gap0,2.00
1705665893,4,4,0,gap0,2.10
3311190028,5,5,0,gap0,11.28
3732634590,4,4,0,gap0,1.81
4259312991,4,4,0,gap0,2.41
1771481685,4,4,0,gap0,2.01
1821623865,4,4,0,gap0,2.21
4290991465,4,4,0,gap0,1.90
1777374960,4,4,0,gap0,1.91
2162655,4,4,0,gap0,2.13
2022135210,5,5,0,gap0,8.89
2583665055,4,4,0,gap0,1.99
1504094805,4,4,0,gap0,1.90
4290051915,4,4,0,gap0,1.90
2523529215,4,4,0,gap0,2.19
1520793780,4,4,0,gap0,1.99
2526416805,5,5,0,gap0,5.91
2147483776,4,4,0,gap0,2.09
3180977049,5,5,0,gap0,7.29
2171136,4,4,0,gap0,2.29
2181048320,4,4,0,gap0,1.99
4294956995,4,4,0,gap0,2.31
948160380,5,5,0,gap0,7.08
3278488515,4,4,0,gap0,2.01
909770751,4,4,0,gap0,2.20
3432825747,5,5,0,gap0,6.80
1013529660,4,4,0,gap0,1.89
1872732015,4,4,0,gap0,1.79
105,4,4,0,gap0,2.20
4128,4,4,0,gap0,2.30
2510711385,5,5,0,gap0,4.78
4061073392,6,6,0,gap0,22.00
2576979561,4,4,0,gap0,1.80
270532866,4,4,0,gap0,1.88
912508524,5,5,0,gap0,9.01
3788682360,4,4,0,gap0,2.10
67174400,4,4,0,gap0,1.90
2826261690,5,5,0,gap0,8.41
1761629440,4,4,0,gap0,1.90
554832417,4,4,0,gap0,1.68
2523485610,4,4,0,gap0,1.80
3976265472,4,4,0,gap0,2.20
2031663,4,4,0,gap0,2.49
1270145310,5,5,0,gap0,4.61
2841007785,4,4,0,gap0,1.51
4243452855,4,4,0,gap0,1.89
957019590,5,5,0,gap0,6.32
3840980208,5,5,0,gap0,12.02
1432988310,4,4,0,gap0,1.91
2160099135,4,4,0,gap0,2.19
2951479295,4,4,0,gap0,2.69
869045865,4,4,0,gap0,1.73
805273519,5,5,0,gap0,7.51
1158680645,4,4,0,gap0,2.00
339805445,4,4,0,gap0,1.71
267405240,5,5,0,gap0,5.68
825373233,4,4,0,gap0,1.92
1263214155,4,4,0,gap0,2.00
2778094185,4,4,0,gap0,1.61
4177392375,5,5,0,gap0,7.28
2071690239,4,4,0,gap0,1.80
168429065,4,4,0,gap0,2.40
8194,4,4,0,gap0,1.81
805515539,4,4,0,gap0,2.08
578818368,5,5,0,gap0,6.02
4137286229,5,5,0,gap0,6.80
518073810,4,4,0,gap0,1.92
2378068545,5,5,0,gap0,5.39
2102777685,4,4,0,gap0,2.75
2841008550,5,5,0,gap0,5.31
3149922303,4,4,0,gap0,2.09
4294940265,4,4,0,gap0,1.80
3740107848,5,5,0,gap0,8.40
2881116021,4,4,0,gap0,2.90
262475565,4,4,0,gap0,2.38
2795939417,4,4,0,gap0,1.70
1765578435,4,4,0,gap0,1.38
1519822185,4,4,0,gap0,1.40
335905290,5,5,0,gap0,9.29
5570665,4,4,0,gap0,1.81
3281391375,4,4,0,gap0,2.17
518975006,4,4,0,gap0,1.82
1513923900,5,5,0,gap0,4.91
1771488060,4,4,0,gap0,1.80
1109688600,5,5,0,gap0,5.91
4033451625,5,5,0,gap0,9.89
959694540,4,4,0,gap0,1.99
41951240,5,5,0,gap0,9.30
1270581111,4,4,0,gap0,1.90
4027568685,4,4,0,gap0,1.69
3275516310,4,4,0,gap0,1.90
8320,4,4,0,gap0,2.31
1431655829,4,4,0,gap0,1.71
3364653192,4,4,0,gap0,2.38
2795858522,4,4,0,gap0,2.00
4294961940,4,4,0,gap0,2.30
672432705,4,4,0,gap0,1.88
16777728,4,4,0,gap0,1.72
2402234255,4,4,0,gap0,2.08
2577753690,5,5,0,gap0,4.90
3937316586,4,4,0,gap0,1.72
3776847585,4,4,0,gap0,1.58
894784341,5,5,0,gap0,6.01
1767545258,4,4,0,gap0,1.71
61568,4,4,0,gap0,2.01
3476055450,4,4,0,gap0,1.83
1498831450,4,4,0,gap0,2.52
3220172735,4,4,0,gap0,1.80
1771499760,4,4,0,gap0,2.09
4293656575,4,4,0,gap0,1.88
3204377515,5,5,0,gap0,6.21
339837480,5,5,0,gap0,4.30
4277137406,4,4,0,gap0,1.99
2573637225,4,4,0,gap0,1.60
2432632575,5,5,0,gap0,7.40
2684354476,6,6,0,gap0,36.08
2693812384,5,5,0,gap0,6.20
2795939340,4,4,0,gap0,2.01
3221274688,4,4,0,gap0,2.40
35716575,4,4,0,gap0,1.98
1448696150,4,4,0,gap0,2.40
3615325655,4,4,0,gap0,1.80
2109669375,4,4,0,gap0,1.80
2864405067,4,4,0,gap0,2.10
2181038145,5,5,0,gap0,16.19
3329025,5,5,0,gap0,15.61
2948489085,4,4,0,gap0,1.99
4088938379,6,6,0,gap0,27.88
2422235280,4,4,0,gap0,2.16
1784260245,5,5,0,gap0,6.87
869037785,5,6,1,gap1,21.11
755992335,4,4,0,gap0,1.71
2523490665,4,4,0,gap0,1.90
306717060,4,4,0,gap0,1.80
1620059265,5,5,0,gap0,6.00
3826981860,5,5,0,gap0,3.61
3478476117,5,5,0,gap0,8.01
16738710,4,4,0,gap0,2.41
4281466632,5,5,0,gap0,15.99
100663296,4,4,0,gap0,2.09
4143970815,4,4,0,gap0,1.92
16730295,4,4,0,gap0,1.92
3355443200,4,4,0,gap0,2.00
4294967274,4,4,0,gap0,1.80
3537991860,4,4,0,gap0,1.89
2796181845,4,4,0,gap0,2.21
893014947,5,5,0,gap0,5.79
4177065976,4,4,0,gap0,2.59
4260754165,5,5,0,gap0,13.52
4285136844,4,4,0,gap0,1.89
3275527785,4,4,0,gap0,1.79
2168592420,5,5,0,gap0,8.12
1872717465,4,4,0,gap0,1.98
1724475033,5,5,0,gap0,5.10
2573860623,4,4,0,gap0,2.49
2863267880,4,4,0,gap0,2.51
1431649365,5,5,0,gap0,9.19
1453959510,4,4,0,gap0,1.21
1437242985,4,4,0,gap0,2.01
755028480,4,4,0,gap0,1.90
2075651550,5,5,0,gap0,10.19
3275505940,4,4,0,gap0,1.89
1504089450,4,4,0,gap0,1.91
3489459678,4,4,0,gap0,2.39
2795154073,5,5,0,gap0,11.58
1452628378,6,6,0,gap0,33.88
1772471280,5,5,0,gap0,6.80
4024412757,4,4,0,gap0,2.30
2526648726,4,4,0,gap0,1.52
2576771430,5,5,0,gap0,4.39
101317110,4,4,0,gap0,2.19
3944021760,4,4,0,gap0,1.90
993513165,4,4,0,gap0,1.80
67846320,4,4,0,gap0,1.79
460544,4,4,0,gap0,2.11
4285136790,4,4,0,gap0,2.29
2181043200,5,5,0,gap0,7.29
3759202590,5,5,0,gap0,7.02
140,4,4,0,gap0,2.50
2594858325,4,4,0,gap0,1.80
3958078955,5,5,0,gap0,9.99
2189295360,4,4,0,gap0,1.89
905985024,4,4,0,gap0,2.20
4294901766,4,4,0,gap0,1.71
2310,4,4,0,gap0,2.39
3609778135,4,4,0,gap0,1.98
1002764040,4,4,0,gap0,2.39
4294945515,4,4,0,gap0,2.01
1398561875,5,5,0,gap0,6.59
3024844935,4,4,0,gap0,1.91
1727031552,6,6,0,gap0,45.10
1724696172,4,4,0,gap0,2.00
4280877015,4,4,0,gap0,2.00
3955146475,4,4,0,gap0,1.89
13369449,4,4,0,gap0,1.80
3278095104,5,5,0,gap0,16.41
2222685060,4,4,0,gap0,1.90
1091834945,4,4,0,gap0,2.68
2030008440,4,4,0,gap0,2.20
2841029205,4,4,0,gap0,2.29
1245233,4,4,0,gap0,2.31
859008147,4,4,0,gap0,2.31
2150247040,4,4,0,gap0,2.28
3203132350,4,4,0,gap0,1.92
4294953215,4,4,0,gap0,2.81
4024426479,4,4,0,gap0,1.99
4092811763,4,4,0,gap0,2.08
2113912575,4,4,0,gap0,1.71
1262755345,4,4,0,gap0,1.79
1216618770,5,5,0,gap0,5.00
151228464,4,4,0,gap0,2.21
1704629610,4,4,0,gap0,1.78
1711670886,4,4,0,gap0,2.00
346728980,5,5,0,gap0,7.30
1788188010,4,4,0,gap0,1.60
1163233962,4,4,0,gap0,1.80
926666190,4,4,0,gap0,1.98
50463235,4,4,0,gap0,2.10
10248960,5,5,0,gap0,9.61
4293197850,5,5,0,gap0,13.42
1815674880,5,5,0,gap0,6.18
2075656191,4,4,0,gap0,1.89
3742179570,6,6,0,gap0,23.59
3994336065,5,5,0,gap0,8.02
4222549758,5,5,0,gap0,10.62
1145315906,5,5,0,gap0,15.70
4294966613,4,4,0,gap0,2.00
3928632042,5,5,0,gap0,6.10
2674880415,4,4,0,gap0,2.09
4290772991,4,4,0,gap0,2.40
2781043260,5,5,0,gap0,5.19
3021915075,5,5,0,gap0,11.41
3790528836,6,6,0,gap0,24.88
2510645850,4,4,0,gap0,1.89
3757932535,4,4,0,gap0,1.80
2523502230,4,4,0,gap0,1.68
4036423920,4,4,0,gap0,2.01
1862221823,5,5,0,gap0,6.50
506265600,4,4,0,gap0,1.90
4288649721,4,4,0,gap0,2.40
2168590626,5,5,0,gap0,6.42
317530590,4,4,0,gap0,2.09
1103004285,4,4,0,gap0,1.99
2412449551,5,6,1,gap1,26.49
101255430,4,4,0,gap0,1.91
1518642450,6,6,0,gap0,25.39
3726736260,4,4,0,gap0,2.09
2267904210,4,4,0,gap0,1.99
1275073280,4,4,0,gap0,1.91
3435934521,4,4,0,gap0,2.09
339814530,4,4,0,gap0,1.89
663552000,5,5,0,gap0,7.61
2483027859,4,4,0,gap0,1.80
768791250,4,4,0,gap0,2.00
4193677215,5,5,0,gap0,5.50
2796155900,4,4,0,gap0,2.52
1771465065,4,4,0,gap0,1.80
67371524,5,5,0,gap0,11.82
2072282235,4,4,0,gap0,1.88
2533344255,4,4,0,gap0,1.83
984585,4,4,0,gap0,2.61
3220918260,4,4,0,gap0,2.30
1933020360,4,4,0,gap0,2.09
939523899,5,5,0,gap0,9.20
2506768320,4,4,0,gap0,1.91
865506867,4,4,0,gap0,2.20
167118585,4,4,0,gap0,1.98
3492769935,4,4,0,gap0,2.41
573186594,4,4,0,gap0,2.19
3418111443,6,,-1,inconclusive,52.19
969315180,4,4,0,gap0,1.99
2185314690,4,4,0,gap0,1.89
3827020110,5,5,0,gap0,5.49
8519680,4,4,0,gap0,2.10
1556439029,5,5,0,gap0,6.50
2004711383,4,4,0,gap0,2.30
2846250585,4,4,0,gap0,1.98
4134535014,4,4,0,gap0,2.29
2111291115,4,4,0,gap0,1.82
1611239568,6,6,0,gap0,22.62
3074972325,5,5,0,gap0,7.78
3740134893,4,4,0,gap0,1.68
118164747,5,5,0,gap0,14.81
44911,4,4,0,gap0,2.19
2526636390,4,4,0,gap0,1.70
4033933520,4,4,0,gap0,2.00
2891162460,5,5,0,gap0,4.80
1976923865,5,6,1,gap1,19.72
2690618259,5,5,0,gap0,6.37
3438210254,4,4,0,gap0,2.62
1420296450,4,4,0,gap0,2.31
1701483930,5,5,0,gap0,5.31
4294115312,4,4,0,gap0,2.01
2422643046,5,5,0,gap0,6.51
1887438600,4,4,0,gap0,1.92
1868599455,5,5,0,gap0,5.61
1094827585,4,4,0,gap0,1.79
1504073130,4,4,0,gap0,2.00
66301020,6,6,0,gap0,36.01
4277993730,4,4,0,gap0,2.02
1771438080,4,4,0,gap0,1.98
3956791275,4,4,0,gap0,1.91
2784023175,5,5,0,gap0,8.10
100603084,5,5,0,gap0,6.89
2573795568,4,4,0,gap0,2.09
2219315745,5,5,0,gap0,4.60
1013541180,4,4,0,gap0,1.80
4294967145,4,4,0,gap0,2.01
765842010,4,4,0,gap0,1.99
13692430,5,5,0,gap0,10.58
2078193645,4,4,0,gap0,1.81
4261339103,5,5,0,gap0,10.00
3392484810,5,5,0,gap0,4.30
3325638345,5,5,0,gap0,4.90
1717987734,4,4,0,gap0,1.79
3288609025,5,5,0,gap0,8.72
545316735,4,4,0,gap0,2.30
2774178201,5,5,0,gap0,5.01
2624375238,4,4,0,gap0,2.09
4278059007,4,4,0,gap0,1.89
1216662732,4,4,0,gap0,2.01
303112482,4,4,0,gap0,1.71
1772459610,4,4,0,gap0,1.58
84478470,4,4,0,gap0,2.68
1571510190,5,5,0,gap0,13.10
1099043106,4,4,0,gap0,2.09
2526439875,5,5,0,gap0,4.80
1824953145,4,4,0,gap0,1.99
2590336410,4,4,0,gap0,1.82
3939871317,4,4,0,gap0,2.21
3994099425,4,4,0,gap0,1.58
1722128730,5,5,0,gap0,4.20
2578015830,4,4,0,gap0,1.71
1721132649,4,4,0,gap0,1.89
2322953610,4,4,0,gap0,3.28
2473349295,5,5,0,gap0,7.70
3392812485,5,5,0,gap0,7.08
2526478080,5,5,0,gap0,5.71
4093185273,5,5,0,gap0,15.71
2523506010,4,4,0,gap0,1.81
620708607,5,5,0,gap0,5.90
2624368479,4,4,0,gap0,2.08
4288085820,4,4,0,gap0,2.21
605569665,5,5,0,gap0,8.68
554468355,5,5,0,gap0,15.50
4142986736,4,4,0,gap0,2.41
1828716435,5,5,0,gap0,6.31
3281599590,5,5,0,gap0,4.42
3489645909,5,5,0,gap0,10.60
1149518984,4,4,0,gap0,2.10
3955475395,4,4,0,gap0,2.10
1515559509,4,4,0,gap0,1.91
17039360,4,4,0,gap0,1.88
2934631086,4,4,0,gap0,2.20
1721330073,4,4,0,gap0,1.91
4035440760,4,4,0,gap0,1.98
1275049215,4,4,0,gap0,1.70
4210754821,5,5,0,gap0,6.79
2693812320,4,4,0,gap0,2.00
1768330905,4,4,0,gap0,1.30
1259278155,4,4,0,gap0,2.10
3228188565,4,4,0,gap0,1.98
1515886185,4,4,0,gap0,1.91
2226604155,5,5,0,gap0,5.11
167774464,4,4,0,gap0,1.91
3696282885,4,4,0,gap0,2.29
2195183490,5,5,0,gap0,5.60
3472936773,4,4,0,gap0,2.21
2022147960,4,4,0,gap0,1.91
1987571694,5,5,0,gap0,8.08
116982780,4,4,0,gap0,2.31
1364525055,4,4,0,gap0,2.00
